维度细分,变量名,数值类型,解释,是否上线,上线时间,备注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为/授信行为,idn_bvr_log_0to8_succ_cnt_30d,double,0-8点成功登录次数-近30天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为/授信行为,idn_bvr_log_0to8_succ_cnt_90d,double,0-8点成功登录次数-近90天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为/授信行为,idn_bvr_log_0to8_succ_cnt_180d,double,0-8点成功登录次数-近180天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为/授信行为,idn_bvr_log_8to11_succ_cnt_180d,double,8-11点成功登录次数-近180天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为/授信行为,idn_bvr_log_12to19_succ_cnt_180d,double,12-19点成功登录次数-近180天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为/授信行为,idn_bvr_log_20to24_succ_cnt_180d,double,20-24点成功登录次数-近180天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
