维度细分,变量名,数值类型,解释,是否上线,上线时间,备注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_busy_cnt_30d,double,近30天催记结果为拒接的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_busy_cnt_90d,double,近90天催记结果为拒接的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_busy_cnt_180d,double,近180天催记结果为拒接的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_busy_cnt_all,double,历史全量催记结果为拒接的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_wa002_cnt_1d,double,近1天催记结果为WA消息已送达的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_wa002_cnt_7d,double,近7天催记结果为WA消息已送达的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_wa002_cnt_15d,double,近15天催记结果为WA消息已送达的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_wa002_cnt_30d,double,近30天催记结果为WA消息已送达的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_wa002_cnt_90d,double,近90天催记结果为WA消息已送达的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_wa002_cnt_180d,double,近180天催记结果为WA消息已送达的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_wa002_cnt_all,double,历史全量催记结果为WA消息已送达的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_wa001_cnt_1d,double,近1天催记结果为WA消息未送达的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_wa001_cnt_7d,double,近7天催记结果为WA消息未送达的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_wa001_cnt_15d,double,近15天催记结果为WA消息未送达的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_wa001_cnt_30d,double,近30天催记结果为WA消息未送达的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_wa001_cnt_90d,double,近90天催记结果为WA消息未送达的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_wa001_cnt_180d,double,近180天催记结果为WA消息未送达的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_wa001_cnt_all,double,历史全量催记结果为WA消息未送达的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_wa000_cnt_1d,double,近1天催记结果为无WA的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_wa000_cnt_7d,double,近7天催记结果为无WA的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_wa000_cnt_15d,double,近15天催记结果为无WA的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_wa000_cnt_30d,double,近30天催记结果为无WA的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
