维度细分,变量名,数值类型,解释,是否上线,上线时间,备注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_wifi_mac_case_succ_ratio_30d,double,最近30天通过wifimac关联用户的授信去重成功率,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_wifi_mac_case_succ_ratio_60d,double,最近60天通过wifimac关联用户的授信去重成功率,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_wifi_mac_case_succ_ratio_90d,double,最近90天通过wifimac关联用户的授信去重成功率,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_contact_case_cnt,double,最近1年通过共用联系人关联用户的授信去重次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_contact_case_cnt_1d,double,最近1天通过共用联系人关联用户的授信去重次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_contact_case_cnt_7d,double,最近7天通过共用联系人关联用户的授信去重次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_contact_case_cnt_14d,double,最近14天通过共用联系人关联用户的授信去重次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_contact_case_cnt_30d,double,最近30天通过共用联系人关联用户的授信去重次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_contact_case_cnt_60d,double,最近60天通过共用联系人关联用户的授信去重次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_contact_case_cnt_90d,double,最近90天通过共用联系人关联用户的授信去重次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_contact_case_succ_cnt,double,最近1年通过共用联系人关联用户的授信去重成功次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
