维度细分,变量名,数值类型,解释,是否上线,上线时间,备注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p180d_odue_cnt,double,过去180天逾期还款次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p180d_advance_cnt_ratio,double,过去180天提前还款占比,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p180d_norm_cnt_ratio,double,过去180天正常还款占比,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p180d_odue_cnt_ratio,double,过去180天逾期还款占比,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p360d_tot_cnt,double,过去360天总还款次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p360d_advance_cnt,double,过去360天提前还款次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p360d_norm_cnt,double,过去360天正常还款次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p360d_odue_cnt,double,过去360天逾期还款次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p360d_advance_cnt_ratio,double,过去360天提前还款占比,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p360d_norm_cnt_ratio,double,过去360天正常还款占比,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p360d_odue_cnt_ratio,double,过去360天逾期还款占比,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_tot_cnt,double,历史总还款次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_advance_cnt,double,历史提前还款次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_norm_cnt,double,历史正常还款次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_odue_cnt,double,历史逾期还款次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_advance_cnt_ratio,double,历史提前还款占比,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_norm_cnt_ratio,double,历史正常还款占比,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_odue_cnt_ratio,double,历史逾期还款占比,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_cnt_p7dd30d,double,还款次数趋势：近7天/近30天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_cnt_p30dd90d,double,还款次数趋势：近30天/近90天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_cnt_p90dd180d,double,还款次数趋势：近90天/近180天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_cnt_p180dd360d,double,还款次数趋势：近180天/近360天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_cnt_p360ddtot,double,还款次数趋势：近360天/历史全部,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p7d_amt_sum,double,过去7天总还款金额,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p7d_amt_max,double,过去7天还款最大金额,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p7d_amt_min,double,过去7天还款最小金额,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p7d_amt_avg,double,过去7天还款平均金额,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p30d_amt_sum,double,过去30天总还款金额,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p30d_amt_max,double,过去30天还款最大金额,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p30d_amt_min,double,过去30天还款最小金额,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p30d_amt_avg,double,过去30天还款平均金额,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p90d_amt_sum,double,过去90天总还款金额,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p90d_amt_max,double,过去90天还款最大金额,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p90d_amt_min,double,过去90天还款最小金额,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p90d_amt_avg,double,过去90天还款平均金额,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p180d_amt_sum,double,过去180天总还款金额,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p180d_amt_max,double,过去180天还款最大金额,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p180d_amt_min,double,过去180天还款最小金额,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p180d_amt_avg,double,过去180天还款平均金额,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p360d_amt_sum,double,过去360天总还款金额,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p360d_amt_max,double,过去360天还款最大金额,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p360d_amt_min,double,过去360天还款最小金额,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
